"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 20:25:41 MSK 2021","Sat Mar 13 20:25:45 MSK 2021","3902","test","test_add_group","","","","test_add_group[None:nameb5j#!Wk 0:header,S+vo FY[yUt:footerMQ*\ w=3 ifHN,=!N]",""
"passed","Sat Mar 13 20:26:12 MSK 2021","Sat Mar 13 20:26:16 MSK 2021","3914","test","test_add_group","","","","test_add_group[None:nameoX(eFTYU:header:footer]",""
"passed","Sat Mar 13 20:26:08 MSK 2021","Sat Mar 13 20:26:12 MSK 2021","3921","test","test_add_group","","","","test_add_group[None:name@ ]_>e9 4:header oH5R$LY s):footer~,_v+P }Jj]",""
"failed","Sat Mar 13 20:26:16 MSK 2021","Sat Mar 13 20:26:20 MSK 2021","3909","test","test_add_group","","","","test_add_group[None:name3 3UZE:header':footer 6$HY 9 LkudEQzf7E]",""
"passed","Sat Mar 13 20:26:01 MSK 2021","Sat Mar 13 20:26:04 MSK 2021","3914","test","test_add_group","","","","test_add_group[None:name6wL :( s:header#u+y`:footer[|pIS{A?}3>U  Q)]",""
"passed","Sat Mar 13 20:25:45 MSK 2021","Sat Mar 13 20:25:49 MSK 2021","3923","test","test_add_group","","","","test_add_group[None:name,m&*:headerz9j7k@:footer(Db]",""
"passed","Sat Mar 13 20:25:49 MSK 2021","Sat Mar 13 20:25:53 MSK 2021","3912","test","test_add_group","","","","test_add_group[None:namez)A:headerPxN xT@C[ jnq:footer*~, 1h1!OYiuCN]",""
"passed","Sat Mar 13 20:26:05 MSK 2021","Sat Mar 13 20:26:08 MSK 2021","3918","test","test_add_group","","","","test_add_group[None:nameG]6}rZ fP:header!nP]cy:footerAoba`n_]",""
"failed","Sat Mar 13 20:25:53 MSK 2021","Sat Mar 13 20:25:57 MSK 2021","3869","test","test_add_group","","","","test_add_group[None:name':header:footerI#X]",""
"passed","Sat Mar 13 20:25:37 MSK 2021","Sat Mar 13 20:25:41 MSK 2021","4019","test","test_add_group","test_add_group[None","","","test_add_group[None:::]",""
"passed","Sat Mar 13 20:25:57 MSK 2021","Sat Mar 13 20:26:01 MSK 2021","3898","test","test_add_group","","","","test_add_group[None:nameNra5B:header }gkACxD:footerMdcJn(]",""
